start,accurate,not accurate,epsilon,percentage
450000001,450006000.9600005,2323790.010306439,447682210.9496941,99.48360910624547
460000001,460006000.9608701,2349468.0274479156,457656532.93342215,99.48925274397719
470000001,470006000.96170264,2374868.419934039,467631132.5417686,99.49471529829945
480000001,480006000.96250045,2400000.0025,477606000.96000046,99.50000625040363
490000001,490006000.9632658,2424871.1330707865,487581129.830195,99.50513440074124
500000001,500006000.9640004,2449489.745232668,497556511.21876776,99.51010793060281
510000001,510006000.9647063,2473863.3777959524,507532137.58691037,99.51493445702276
520000001,520006000.965385,2497999.2017612816,517508001.7636237,99.51962108184831
530000001,530006000.9660381,2521904.044962853,527484096.9210752,99.524174435692
540000001,540006000.966667,2545584.4146285937,537460416.5520384,99.52860071738615
550000001,550006000.9672731,2569046.5180685227,547436954.4492046,99.53290572947378
560000001,560006000.9678575,2592296.2816776945,557413704.6861798,99.53709491019784
570000001,570006000.9684215,2615339.3684185613,567390661.6000029,99.54117336239001
580000001,580006000.9689659,2638181.193928878,577367819.775037,99.54514587960789
590000001,590006000.9694918,2660826.941384952,587345174.0281069,99.54901696982527
600000001,600006000.9700003,2683281.5752358157,597322719.3947644,99.55279087694157
610000001,610006000.9704921,2705549.8539114003,607300451.1165807,99.55647160034377
620000001,620006000.970968,2727636.341596878,617278364.6293712,99.56006291272581
630000001,630006000.9714289,2749545.419155683,627256455.5522732,99.56356837634624
640000001,640006000.9718753,2771281.294275267,637234719.6776,99.56699135788305
650000001,650006000.9723079,2792848.010902133,647213152.9614058,99.57033504202661
660000001,660006000.9727275,2814249.458026065,657191751.5147015,99.5736024439356
670000001,670006000.9731346,2835489.377867602,667170511.595267,99.5767964206665
680000001,680006000.9735297,2856571.3735175603,677149429.6000122,99.57991968167518
690000001,690006000.9739133,2877498.916072776,687128502.0578406,99.58297479847839
700000001,700006000.974286,2898275.3513080846,697107725.6229779,99.58596421355328
710000001,710006000.9746481,2918903.905920851,707087097.0687273,99.58889024854523
720000001,720006000.9750003,2939387.6933810553,717066613.2816192,99.5917551118462
730000001,730006000.9753426,2959729.7194169606,727046271.2559257,99.59456090560043
740000001,740006000.975676,2979932.887163736,737026068.0885122,99.59730963218747
750000001,750006000.9760002,3000000.002,747006000.9740002,99.60000320022826
760000001,760006000.976316,3019933.7760950984,756986067.2002208,99.60264343015507
770000001,770006000.9766235,3039736.832687988,766966264.1439356,99.60523205938232
780000001,780006000.9769232,3059411.710116832,776946589.2668064,99.60777074711154
790000001,790006000.9772154,3078960.86561684,786927040.1115986,99.6102610788009
800000001,800006000.9775002,3098386.6789024253,796907614.2985978,99.61270457032614
810000001,810006000.977778,3117691.45554848,806888309.5222294,99.6151026718586
820000001,820006000.9780489,3136877.4301843545,816869123.5478646,99.6174567714818
830000001,830006000.9783134,3155946.769513073,826850054.2088003,99.61976819856805
840000001,840006000.9785717,3174901.575167331,836831099.4034044,99.62203822693306
